stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
14,1,1.0,43.758000699999684,,43.7436658000006,43.758000699999684,44.258877200001734,44.258877200001734,44.258877200001734,44.5589833999984,46.192259000003105,left,-1.0,1,1,1.922784700000193,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
15,0.5,1.0,46.2072554999977,,46.19239770000422,46.2072554999977,46.69058180000138,46.69058180000138,46.70798240000295,46.99110070000461,48.82662469999923,right,1.0,0,0,2.1346632999993744,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
16,0.5,1.5,48.839535300001444,,48.82676000000356,48.839535300001444,49.34120890000486,49.34120890000486,49.34120890000486,49.64000930000475,50.9244067000036,right,1.5,0,0,1.567324000003282,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
17,0.5,2.0,50.93980400000146,,50.92459229999804,50.93980400000146,51.42347259999951,51.42347259999951,51.44064800000342,51.72366300000431,52.941344600003504,left,-2.0,1,1,1.5129271000041626,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
18,0.5,2.0,52.95611170000484,,52.94146900000487,52.95611170000484,53.45666260000144,53.45666260000144,53.45666260000144,53.75608939999802,55.173801800003275,right,2.0,1,1,1.7078843999988749,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
19,0.5,2.0,55.18873970000277,,55.1739333000005,55.18873970000277,55.68982210000104,55.68982210000104,55.68982210000104,55.98908040000242,57.55649899999844,left,-2.0,1,1,1.8590977999992901,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
20,0.5,1.5,57.572018099999696,,57.55662930000108,57.572018099999696,58.07214550000208,58.07214550000208,58.07214550000208,58.37177099999826,59.98919130000286,right,1.5,1,1,1.9098268000016105,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
21,0.5,1.5,60.00456690000283,,59.98931309999898,60.00456690000283,60.5052754999997,60.5052754999997,60.5052754999997,60.80480879999959,62.656653999998525,left,-1.5,1,1,2.148962700004631,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
22,0.5,1.5,62.67048760000034,,62.656809500003874,62.67048760000034,63.1714959000019,63.1714959000019,63.1714959000019,63.47124559999793,64.83923679999862,left,-1.5,1,1,1.6575775000019348,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
23,0.5,1.0,64.85337470000377,,64.83936510000058,64.85337470000377,65.35454800000298,65.35454800000298,65.35454800000298,65.66924250000011,67.08794090000447,left,-1.0,1,1,1.7215496999997413,1,001,2024-09-06_20h55.49.874,adaptive_staircase 3rd friday,2024.1.5,None,2024-09-06 20h55.57.663899 +0530,
